,Product Name,Category,Company Name,URL to Capterra Page
0,Spider Impact,data analysis software , Spider Strategies,www.capterra.com/p/113352/Scoreboard/
1,Zoho Analytics,data analysis software , Zoho,www.capterra.com/p/129749/Zoho-Analytics/
2,Cluvio,data analysis software , Cluvio,www.capterra.com/p/162332/Cluvio/
3,Minitab Statistical Software,data analysis software , Minitab,www.capterra.com/p/109731/Minitab-Statistical-Software/
4,Hexowatch,data analysis software , Hexact,www.capterra.com/p/206900/Hexowatch/
5,Mixpanel,data analysis software , Mixpanel,www.capterra.com/p/158740/Mixpanel/
6,Tableau,data analysis software , Tableau,www.capterra.com/p/202665/Tableau/
7,Power BI,data analysis software ,Microsoft,www.capterra.com/p/176586/Power-BI/
8,XLSTAT,data analysis software , Addinsoft,www.capterra.com/p/119448/XLSTAT/
9,ibi,data analysis software ,ibi,www.capterra.com/p/118/WebFOCUS/
10,Stata,data analysis software , StataCorp,www.capterra.com/p/119880/Stata/
11,Wolfram Mathematica,data analysis software , Wolfram,www.capterra.com/p/171048/Wolfram-Mathematica/
12,SAS/STAT,data analysis software ,SAS Institute,www.capterra.com/p/121765/SAS-Statistics/
13,Holistics,data analysis software , Holistics Software,www.capterra.com/p/153101/Holistics/
14,MicroStrategy Enterprise Analytics,data analysis software ,MicroStrategy,www.capterra.com/p/120/MicroStrategy-9/
15,MIPAR,data analysis software , MIPAR,www.capterra.com/p/181408/MIPAR/
16,UpMetrics,data analysis software , UpMetrics,www.capterra.com/p/213916/UpMetrics/
17,NVivo,data analysis software , QSR International,www.capterra.com/p/171501/NVivo/
18,FactoryTalk InnovationSuite,data analysis software , Rockwell Automation,www.capterra.com/p/9590/FactoryTalk/
19,ATLAS.ti,data analysis software , Scientific Software Development,www.capterra.com/p/171500/ATLAS-ti/
20,IDEA,data analysis software , CaseWare International,www.capterra.com/p/129838/IDEA/
21,Kyubit Business Intelligence,data analysis software , Kyubit Solutions,www.capterra.com/p/146822/Kyubit-Business-Intelligence/
22,DataPlay,data analysis software , Margasoft,www.capterra.com/p/149233/DataPlay/
23,GoodData,data analysis software , GoodData,www.capterra.com/p/123828/GoodData/
24,Neural Designer,data analysis software , Artelnics,www.capterra.com/p/156274/Neural-Designer/
